Age,MonthlyBill,Complaints,Churn
60,34,0,0
37,51,3,0
28,114,1,1
54,31,9,1
47,24,0,0
25,47,3,0
52,97,0,1
55,45,10,1
54,73,3,1
48,95,4,1
20,117,2,1
47,63,4,0
29,47,5,0
26,31,6,1
26,65,5,0
58,53,0,0
49,88,1,1
44,30,8,1
38,100,9,1
43,93,3,1
24,25,10,1
34,118,4,1
25,49,1,0
44,55,7,1
60,66,2,0
43,65,3,0
37,109,10,1
24,97,10,1
30,88,3,1
30,79,6,1
37,101,8,1
34,107,5,1
23,49,0,0
40,71,4,1
24,47,9,1
40,47,10,1
51,70,10,1
49,38,4,0
28,51,8,1
54,53,9,1
47,94,6,1
43,48,2,0
52,83,1,1
23,34,2,0
60,40,10,1
47,96,1,1
44,68,9,1
49,87,4,1
55,21,10,1
27,107,8,1
